ฑ๊สถ,x,y,thickness
1.000000,1622.650154,-25.327586,0.259522,peak,1560.280218,-15.682007
2.000000,1622.184707,-25.197825,0.173015,center,1555.393021,-15.768515
3.000000,1621.719260,-25.068064,0.259522,width 3dB,81.453275
4.000000,1621.253813,-24.895049,0.259522,left 3dB,1514.666384,-18.682007
5.000000,1620.788365,-24.722034,0.259522,right 3dB,1596.119659,-18.682007
6.000000,1620.322918,-24.635527,0.259522
7.000000,1619.857471,-24.419258,0.173015
8.000000,1619.392023,-24.289497,0.259522
9.000000,1618.926576,-24.116482,0.259522
10.000000,1618.461129,-23.986721,0.173015
11.000000,1617.995682,-23.813706,0.173015
12.000000,1617.530234,-23.683945,0.259522
13.000000,1617.064787,-23.510930,0.259522
14.000000,1616.599340,-23.381169,0.173015
15.000000,1616.133892,-23.208154,0.173015
16.000000,1615.668445,-23.078393,0.259522
17.000000,1615.202998,-22.948632,0.173015
18.000000,1614.737551,-22.818871,0.259522
19.000000,1614.272103,-22.689110,0.173015
20.000000,1613.806656,-22.559348,0.259522
21.000000,1613.341209,-22.429587,0.173015
22.000000,1612.875761,-22.299826,0.259522
23.000000,1612.410314,-22.170065,0.173015
24.000000,1611.944867,-22.083558,0.173015
25.000000,1611.479420,-21.953796,0.259522
26.000000,1611.013972,-21.824035,0.173015
27.000000,1610.548525,-21.694274,0.259522
28.000000,1610.083078,-21.607767,0.259522
29.000000,1609.617630,-21.521259,0.259522
30.000000,1609.152183,-21.348244,0.259522
31.000000,1608.686736,-21.218483,0.173015
32.000000,1608.221289,-21.088722,0.259522
33.000000,1607.755841,-21.002215,0.259522
34.000000,1607.290394,-20.872453,0.173015
35.000000,1606.824947,-20.742692,0.259522
36.000000,1606.359499,-20.656185,0.259522
37.000000,1605.894052,-20.526424,0.173015
38.000000,1605.428605,-20.396663,0.259522
39.000000,1604.963158,-20.310155,0.259522
40.000000,1604.497710,-20.180394,0.346030
41.000000,1604.032263,-20.137140,0.259522
42.000000,1603.566816,-20.007379,0.173015
43.000000,1603.101368,-19.920872,0.173015
44.000000,1602.635921,-19.834364,0.346030
45.000000,1602.170474,-19.747857,0.346030
46.000000,1601.705027,-19.661349,0.346030
47.000000,1601.239579,-19.531588,0.259522
48.000000,1600.774132,-19.488334,0.346030
49.000000,1600.308685,-19.401827,0.346030
50.000000,1599.843237,-19.315320,0.173015
51.000000,1599.377790,-19.228812,0.173015
52.000000,1598.912343,-19.099051,0.259522
53.000000,1598.446895,-18.969290,0.346030
54.000000,1597.981448,-18.969290,0.346030
55.000000,1597.516001,-18.839529,0.259522
56.000000,1597.050554,-18.796275,0.346030
57.000000,1596.585106,-18.709768,0.346030
58.000000,1596.119659,-18.623260,0.346030
59.000000,1595.654212,-18.536753,0.346030
60.000000,1595.188764,-18.493499,0.259522
61.000000,1594.723317,-18.363738,0.173015
62.000000,1594.257870,-18.277230,0.173015
63.000000,1593.792423,-18.233977,0.259522
64.000000,1593.326975,-18.147469,0.259522
65.000000,1592.861528,-18.104216,0.346030
66.000000,1592.396081,-18.017708,0.346030
67.000000,1591.930633,-17.974454,0.259522
68.000000,1591.465186,-17.887947,0.259522
69.000000,1590.999739,-17.801439,0.259522
70.000000,1590.534292,-17.801439,0.259522
71.000000,1590.068844,-17.714932,0.259522
72.000000,1589.603397,-17.628425,0.259522
73.000000,1589.137950,-17.585171,0.173015
74.000000,1588.672502,-17.541917,0.259522
75.000000,1588.207055,-17.455410,0.259522
